,Property description,Property type,Property Area,Number of Beds ,Number of Baths ,Property price,Property location
0,"Furnished apartment in Al Fardous Compound, Nasr City, for sale, 150 meters",Apartment,150.0,3.0,1.0,4000000.0,"Nasr City, Cairo"
1,Own your apartment fully finished in westview residence compound in a prime location,Apartment,130.0,3.0,1.0,6500000.0,"Westview, Sheikh Zayed, Giza"
2,"Apartment for sale at an unbeatable price, full finishing, ready to move, with a garden in Gardenia City Compound",Apartment,120.0,3.0,1.0,4100000.0,"Gardenia Compound, Nasr City, Cairo"
3,Apartment for sale 235 m Roushdy (Abu Qir St. ),Apartment,235.0,3.0,1.0,5800000.0,"Roushdy, Alexandria"
4,Apartment for sale in landscape view ready to receive at the lowest price in Badya Palm Hills Nearby the Badya Palm Hills Sphinx Airport,Apartment,195.0,3.0,1.0,3200000.0,"Badya Palm Hills Compound, 6th of October, Giza"
5,"Apartment for sale in Al Narges, 158-meter buildings, second floor, fully finished, ready to move, and a special price",Apartment,158.0,3.0,1.0,4700000.0,"Al Narges, New Cairo, Cairo"
6,Apartment for sale 160 m Ibrahimia (steps from the tram - sea view),Apartment,160.0,3.0,1.0,4150000.0,"Al Ibrahimiyyah, Alexandria"
7,130 sqm apartment + private garden for sale (minimum down payment) directly next to Madinaty,Apartment,130.0,3.0,1.0,2000000.0,"Madinaty, Cairo"
8,Apartment in Kafr Abdo 3 bedrooms 4800000 EGP - 501085972,Apartment,170.0,3.0,1.0,4800000.0,"Kafr Abdo, Alexandria"
9,Apartment for sale 160 m Fleming (Abdelfatah Al taweel st. ),Apartment,160.0,3.0,1.0,3000000.0,"Fleming, Alexandria"
10,apartment for sale in stone residence,Apartment,140.0,3.0,1.0,6250000.0,"Stone Residence Compound, New Cairo, Cairo"
11,"Apartment for Sale in Ard El Golf - Heliopolis, Total Area: 215 m², Floor: First floor, Bedrooms: 3, Receptions: 2, Bathroom: 1, Located in a villa",Apartment,215.0,3.0,1.0,4250000.0,"Heliopolis, Cairo"
12,Apartment in New Cairo，El Lotus 3 bedrooms 4750000 EGP - 501095726,Apartment,160.0,3.0,1.0,4750000.0,"El Lotus, New Cairo, Cairo"
13,Apartment 100 meters igreen town October Gardens compound,Apartment,100.0,3.0,1.0,1500000.0,"Hadayek 6th of October, Hadayek October, Giza"
14,Apartment in 6th of October，Ashgar City Compound 3 bedrooms 4300000 EGP - 500965545,Apartment,100.0,3.0,1.0,4300000.0,"Ashgar City Compound, 6th of October, Giza"
15,Apartment 164 meter in avelin new cairo with 8 years equal installment,Apartment,164.0,3.0,1.0,12629640.0,"New Cairo, Cairo"
16,156 sqm apartment for sale in Palmet New Cairo Palm Hills compound in the heart of Fifth Settlement,Apartment,156.0,3.0,1.0,21000000.0,"Palm Hills New Cairo Compound, New Cairo, Cairo"
17,Apartment for sale 135 m Al Mandara (Steps from the sea),Apartment,135.0,3.0,1.0,2950000.0,"Mandara, Alexandria"
18,"Apartment for sale 3 rooms with a private garden, fully finished with kitchen and air conditioners in Madinaty",Apartment,113.0,3.0,1.0,6500000.0,"Madinaty, Cairo"
19,"""A 3-bedroom apartment for sale in Ashgar City compound with a down payment of 525,000 EGP and an 8-year installment plan. """,Apartment,105.0,3.0,1.0,3500000.0,"Ashgar City Compound, 6th of October, Giza"
20,Apartment Immediate Receipt In Badya Palm Hills October Badya With Landscape View With The Lowest Down Payment And The Longest Repayment Period,Apartment,195.0,3.0,1.0,4800000.0,"Badya Palm Hills Compound, 6th of October, Giza"
21,Apartment for sale 165 m Kafr Abdo (on Allenby Garden),Apartment,165.0,3.0,1.0,4500000.0,"Kafr Abdo, Alexandria"
22,"Apartment for sale 126m, Smouha (Al Safa Street)",Apartment,126.0,3.0,1.0,3400000.0,"Smoha, Alexandria"
23,very prime apartment for sale 120m gardenia city,Apartment,120.0,3.0,1.0,4715000.0,"Gardenia Compound, Nasr City, Cairo"
24,Fully finished villa at the price of an apartment in the settlement!!!,Villa,223.0,5.0,3.0,28600000.0,"Sodic East, New Heliopolis, Cairo"
25,Villa for sale with garden and private roof with only 5% down payment in The Butterfly Compound directly in front of Madinaty | 42% cash discount with,Villa,250.0,5.0,3.0,17900000.0,"The Butterfly, Mostakbal City, Cairo"
26,The lowest price for a villa in New Cairo with a 42% discount on cash,Villa,206.0,5.0,3.0,8000000.0,"Madinaty, Cairo"
27,Villa for sale in butterfly mostakbel city new cairo next to madinaty,Villa,248.0,5.0,3.0,11000000.0,"The Butterfly, Mostakbal City, Cairo"
28,Your Dream Villa in The Butterfly Compound | Breathtaking Views and Interest-Free Installments Over 8 Years,Villa,246.0,5.0,3.0,19000000.0,"The Butterfly, Mostakbal City, Cairo"
29,Standalone Direct on Greenery and pool -new cairo,Villa,460.0,5.0,3.0,35000000.0,"Gardenia Springs Compound, New Cairo, Cairo"
30,"with old price as 42% discount on instalment S villa For sale in sarai new cairo front of madinaty fifth settlement , 3 floors with garden & roof",Villa,240.0,5.0,3.0,9900000.0,"Sarai, Mostakbal City, Cairo"
31,Villa for sale in **Badya Palm Hills Compound** in 6th of October,Villa,275.0,5.0,3.0,25492000.0,"Badya Palm Hills Compound, 6th of October, Giza"
32,under market price ivilla roof middle for sale in compound mountain view hyde park,Villa,300.0,5.0,3.0,13000000.0,"Mountain View Hyde Park Compound, New Cairo, Cairo"
33,"For quick sale, Family House (Villa) in the best compound on Suez Road",Villa,223.0,5.0,3.0,26800000.0,"Sodic East, New Heliopolis, Cairo"
34,"Villa for sale at a 42% discount, with a down payment of 1,000,000, 5 rooms, landscape view, in Better Fly Compound, Mostaqbal City",Villa,260.0,5.0,3.0,8000000.0,"The Wonder MarQ, Mostakbal City, Cairo"
35,"Villa for sale at a 42% discount, with a down payment of 1,000,000, 5 rooms at a special price, view on the landscape, in the Better Fly Compound, Mos",Villa,260.0,5.0,3.0,8000000.0,"The Butterfly, Mostakbal City, Cairo"
36,"Villa for sale at a 42% discount, with a down payment of one million, 5 rooms, landscape view, in Better Fly Compound, Mostaqbal City",Villa,260.0,5.0,3.0,8000000.0,"Mostakbal City, Cairo"
37,"5-bedroom villa for sale in Fifth Settlement, Sarai Compound, next to Madinaty and the American University, with a 70% discount on payment systems.",Villa,239.0,5.0,3.0,9800000.0,"Tag Sultan Compound, New Cairo, Cairo"
38,"5-bedroom villa for sale in Fifth Settlement, Sarai Compound, next to Madinaty and the American University, with 42% discount + 8 years installments",Villa,212.0,5.0,3.0,8600000.0,"Sarai, Mostakbal City, Cairo"
39,Villa in New Cairo，Stone Park Compound 5 bedrooms 21045000 EGP - 501214108,Villa,248.0,5.0,3.0,21045000.0,"Stone Park Compound, New Cairo, Cairo"
40,"For sale, a villa on the best site, in installments, at the lowest price, in the Butterfly Compound, Mostaqbal City",Villa,248.0,5.0,3.0,10000000.0,"Madinaty, Cairo"
41,svilla for sale in butterfly new cairo city 42% off up to 8 years instalments minutes way from sarai,Villa,1.0,5.0,3.0,15000000.0,"The Butterfly, Mostakbal City, Cairo"
42,"I own a villa with a down payment of 760,000 and complete the rest in installments up to 12 years in the best location with sarai Compound",Villa,205.0,5.0,3.0,15250000.0,"Sarai, Mostakbal City, Cairo"
43,"Independent villa for sale, 248 meters, with a down payment of 940,000 and installments up to 12 years in The Butterfly Mostakbal City Compound, ready",Villa,248.0,5.0,3.0,18820000.0,"The Butterfly, Mostakbal City, Cairo"
44,"Villa for sale, 466 sqm, immediate receipt, in (ROCK EDEN) compound, in installments over 6 years",Villa,464.0,5.0,3.0,21000000.0,"Rock Eden, Hadayek October, Giza"
45,"Villa for sale in Urban Lines Compound in New Cairo, Fifth Settlement, near the American University and 10 minutes from all neighbors Lake Rehab, Ston",Villa,250.0,5.0,3.0,15000000.0,"El Lotus, New Cairo, Cairo"
46,Stand alone villa for sale (Sea Shell) 729 m,Villa,729.0,5.0,3.0,44000000.0,"Seashell, North Coast, Matruh"
47,Villa for sale in the Fifth Settlement in a compound in the Fifth Settlement near the American University in the heart of the Fifth Settlement. A vill,Villa,180.0,5.0,3.0,15000000.0,"El Lotus, New Cairo, Cairo"
48,Duplex corner-3 bedrooms - Ready to move - very prime location - in CITY VIEW new giza,Duplex,290.0,3.0,1.0,15900000.0,"City View Compound, 6th of October, Giza"
49,"Basement and ground duplex in the new city of Paradise on Zewail Road, with an area of 275 square meters and a garden of more than 100 square mete",Duplex,275.0,3.0,1.0,4000000.0,"Al Wahat Road, 6th of October, Giza"
50,"Semi-finished duplex apartment for sale, 270 sqm + garden 20 sqm, in Southern Investors",Duplex,270.0,3.0,1.0,3500000.0,"New Cairo, Cairo"
51,Finished duplex for sale in Fifth Settlement,Duplex,260.0,4.0,2.0,9990000.0,"New Cairo, Cairo"
52,Duplex 208m for sale in front of Cairo Airport in installments,Duplex,208.0,4.0,2.0,15840000.0,"Taj City Compound, New Cairo, Cairo"
53,"Duplex for sale in Southern Investors, Fifth Settlement Immediate receipt with all facilities Finishing: Super Lux Area: 290 square",Duplex,290.0,4.0,2.0,7000000.0,"South Investors, New Cairo, Cairo"
54,Duplex for sale 260m + garden 120m -New cairo(In the southern investors area )Fully open view,Duplex,260.0,4.0,2.0,6200000.0,"5th Settlement, New Cairo, Cairo"
55,duplex for sale 225 m on 3 facades in taj city in El Tagamoa with installments over 8 years,Duplex,225.0,4.0,2.0,10849767.0,"Taj City Compound, New Cairo, Cairo"
56,duplex for sale with prime location in taj city in the First Settlement with installments over 8 years,Duplex,224.0,4.0,2.0,4531746.0,"Taj City Compound, New Cairo, Cairo"
57,duplex for sale with a garden open to two facades in taj city in the first settlement,Duplex,208.0,4.0,2.0,4399792.0,"Taj City Compound, New Cairo, Cairo"
58,duplex for sale 240 lagoon view in taj city in the First Settlement in installments over 8 years,Duplex,240.0,4.0,2.0,10517769.0,"Taj City Compound, New Cairo, Cairo"
59,duplex for sale 4 bedrooms landscape in taj city Compound First Settlement,Duplex,208.0,4.0,2.0,9932267.0,"Taj City Compound, New Cairo, Cairo"
60,villa for sale in Badya Palm Hills Compound in 6th of October,Penthouse,295.0,4.0,2.0,20525000.0,"Badya Palm Hills Compound, 6th of October, Giza"
61,"""Own a penthouse with a down payment of 871,146 EGP in a compound in Shorouk, near Hassan Allam's Spring. """,Penthouse,159.0,4.0,2.0,8711465.0,"Ivy Residence, Shorouk City, Cairo"
62,Penthouse for sale in Promenade Compound in Zayed,Penthouse,390.0,4.0,2.0,8000000.0,"Promenade Residence Compound, 6th of October, Giza"
63,Penthouse resale Ready to Move Finished in Al Dyar,Penthouse,251.0,4.0,2.0,7700000.0,"Dyar Compound, New Cairo, Cairo"
64,Penthouse for sale in the Fifth Settlement Minutes from the American University Area: 218+53 4 rooms + 2 bathrooms - Natural gas - Fiber optic cable f,Penthouse,218.0,4.0,2.0,10670000.0,"5th Settlement, New Cairo, Cairo"
65,penthouse for sale in village west compound sheikh zayed city,Penthouse,213.0,4.0,2.0,14287000.0,"Village West Compound, Sheikh Zayed, Giza"
66,penthouse for sale in village west compound sheikh zayed city,Penthouse,213.0,4.0,2.0,14287000.0,"Village West Compound, Sheikh Zayed, Giza"
67,"Penthouse Redy to move , fully finished, in Al Marasem",Penthouse,165.0,4.0,2.0,22876000.0,"5th Settlement, New Cairo, Cairo"
68,Penthouse in Ain Sukhna，La Vista Topaz of Ain Sokhna 4 bedrooms 3000000 EGP - 501186642,Penthouse,190.0,4.0,2.0,3000000.0,"La Vista Topaz of Ain Sokhna, Ain Sukhna, Suez"
69,"Penthouse opportunity, 300 sqm, with extended installments available in Joya Compound, located in front of Nile University and next to Palm Hills",Penthouse,300.0,4.0,2.0,4564000.0,"Joya Compound, 6th of October, Giza"
70,"Penthouse Redy to move , fully finished, in Al Marasem",Penthouse,165.0,4.0,2.0,22876000.0,"Fifth Square Compound, New Cairo, Cairo"
71,Penthouse for sale in Mountain View Hyde Park,Penthouse,300.0,4.0,2.0,13800000.0,"Mountain View Hyde Park Compound, New Cairo, Cairo"
72,Pentahouse finshed in trio gardeninstallments of 9 y,Penthouse,290.0,4.0,2.0,24425160.0,"Trio Gardens Compound, New Cairo, Cairo"
73,"4BR with roof, Seaview, In Telal Soul,North Coast",Penthouse,161.0,4.0,2.0,16380000.0,"Telal North Coast, North Coast, Matruh"
74,شاليه بقرية امواج مع روف مميز يري البحر مكيف ومفروش بالكامل,Penthouse,300.0,4.0,2.0,7500000.0,"Amwaj, North Coast, Matruh"
75,"Townhouse (villa) with a spacious and multi-use roof, the largest area, at the best price in New Cairo!",Townhouse,221.0,5.0,3.0,33600000.0,"Sodic East, New Heliopolis, Cairo"
76,For quick sale Villa with a Garden and Roof in New Cairo - Perfect Space and an Unbeatable Price!,Townhouse,221.0,5.0,3.0,36000000.0,"Sodic East, New Heliopolis, Cairo"
77,"Townhouse for sale in Sakin Compound, ready for viewing",Townhouse,224.0,5.0,3.0,17800000.0,"Taj City Compound, New Cairo, Cairo"
78,Townhouse for sale at a 42% discount next to Madinaty in the heart of Mostakbal City,Townhouse,248.0,5.0,3.0,9850000.0,"The Butterfly, Mostakbal City, Cairo"
79,Town House for sale next to madinaty,Townhouse,206.0,5.0,3.0,9010000.0,"Madinaty, Cairo"
80,Town House for sale next to madinaty,Townhouse,206.0,5.0,3.0,7000000.0,"Madinaty, Cairo"
81,Villa for sale . . Next to Madinaty with 8 years installments,Townhouse,206.0,5.0,3.0,9000000.0,"Madinaty, Cairo"
82,Villa for sale . . Next to Madinaty with 8 years installments,Townhouse,206.0,5.0,3.0,14800000.0,"Madinaty, Cairo"
83,Town House for sale next to madinaty,Townhouse,206.0,5.0,3.0,9000000.0,"Madinaty, Cairo"
84,Villa for sale . . Next to Madinaty with 8 years installments,Townhouse,206.0,5.0,3.0,9028000.0,"Madinaty, Cairo"
85,Town House for sale next to madinaty,Townhouse,206.0,5.0,3.0,8700000.0,"Madinaty, Cairo"
86,Town House for sale next to madinaty,Townhouse,206.0,5.0,3.0,9000000.0,"Madinaty, Cairo"
87,Town House Corner 265m in a prime location Ready To Move,Townhouse,265.0,5.0,3.0,10800000.0,"New Zayed Compound, Sheikh Zayed, Giza"
88,Town House High fully finished and luxury furniture In a prime location at golf extension,Townhouse,220.0,5.0,3.0,31000000.0,"Palm hills golf extension Compound, 6th of October, Giza"
89,Townhouse (immediate receipt) for sale in Fifth Settlement minutes from the American University,Townhouse,280.0,5.0,3.0,25000000.0,"La Vista City, New Capital City, Cairo"
90,Own a Townhouse Villa in Sodic East New Cairo,Townhouse,219.0,5.0,3.0,16000000.0,"Sodic East, New Heliopolis, Cairo"
91,Town House Ready to Move 220m Fully Finished in a prime location - Golf Extension,Townhouse,219.0,5.0,3.0,31000000.0,"Palm hills golf extension Compound, 6th of October, Giza"
92,"Townhouse for sale, price 3 million 725 thousand",Townhouse,263.0,5.0,3.0,3725000.0,"Parkdale New Zayed Compound, Sheikh Zayed, Giza"
93,He inspected and received a townhouse villa on the key at the end of Teseen Street in La Vista City,Townhouse,230.0,5.0,3.0,20000000.0,"5th Settlement, New Cairo, Cairo"
94,فيلا كورنر علي البحر مباشره متشطبه بالكامل في سهل حشيش بسعر لقطه,Townhouse,177.0,5.0,3.0,11000000.0,"Sahl Hasheesh, Red Sea"
95,"Chalet ready for inspection at the price of old, in installments over 5 years, in Ain Sokhna, La Vista Gardens Compound, with a 20% down payment",Chalet,180.0,4.0,2.0,12900000.0,"La Vista Gardens, Ain Sukhna, Suez"
96,Chalet for sale in Ora Silver Sands - North Coast - Sidi Heneish,Chalet,280.0,4.0,2.0,22500000.0,"Silver Sands, North Coast, Matruh"
97,Invest in Comfort & Luxury at Makadi Heights,Chalet,186.0,4.0,2.0,3400000.0,"Makadi Heights, Makadi Bay, Red Sea"
98,0% Down Payment Chalet For Sale in Makadi heights Red Sea with Prime location,Chalet,212.0,4.0,2.0,13000000.0,"Hurghada, Red Sea"
99,Full View over the Sea and Fully Finished,Chalet,240.0,4.0,2.0,18950000.0,"Playa, North Coast, Matruh"
100,Senior Chalet fully finished for sale now at Hacienda Waters - new launch from palm hills in Ras El Hikma,Chalet,154.0,4.0,2.0,16000000.0,"North Coast, Matruh"
